location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2099180,"La Matanza, Buenos Aires",pm1,4.724206407864888,µg/m³,2025-03-23T21:00:00Z,2025-03-23T18:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,4.653968294461568,µg/m³,2025-03-23T22:00:00Z,2025-03-23T19:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,5.187103192011516,µg/m³,2025-03-23T23:00:00Z,2025-03-23T20:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,4.462499996026357,µg/m³,2025-03-24T00:00:00Z,2025-03-23T21:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,3.861904760201772,µg/m³,2025-03-24T01:00:00Z,2025-03-23T22:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,3.0891368985176086,µg/m³,2025-03-24T02:00:00Z,2025-03-23T23:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.2453372875849404,µg/m³,2025-03-24T03:00:00Z,2025-03-24T00:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.2389880617459617,µg/m³,2025-03-24T04:00:00Z,2025-03-24T01:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.30952380100886,µg/m³,2025-03-24T05:00:00Z,2025-03-24T02:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.4973214268684387,µg/m³,2025-03-24T06:00:00Z,2025-03-24T03:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.085714270671209,µg/m³,2025-03-24T07:00:00Z,2025-03-24T04:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.178422590096792,µg/m³,2025-03-24T08:00:00Z,2025-03-24T05:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.282440463701884,µg/m³,2025-03-24T09:00:00Z,2025-03-24T06:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.4645833373069763,µg/m³,2025-03-24T10:00:00Z,2025-03-24T07:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,3.449107110500336,µg/m³,2025-03-24T11:00:00Z,2025-03-24T08:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,4.833482106526692,µg/m³,2025-03-24T12:00:00Z,2025-03-24T09:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,3.587499976158142,µg/m³,2025-03-24T13:00:00Z,2025-03-24T10:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.596279740333557,µg/m³,2025-03-24T14:00:00Z,2025-03-24T11:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.024107148249944,µg/m³,2025-03-24T15:00:00Z,2025-03-24T12:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.8821429014205933,µg/m³,2025-03-24T16:00:00Z,2025-03-24T13:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,4.780505925416946,µg/m³,2025-03-24T17:00:00Z,2025-03-24T14:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.6819940706094108,µg/m³,2025-03-24T18:00:00Z,2025-03-24T15:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
